country,code,gni_per_capita,population,continent,top10_share,homicide
Aruba,ABW,26250.0,104000.0,North America,,
Afghanistan,AFG,600.0,34414000.0,Asia,,1.546669770742224
Angola,AGO,4520.0,27884000.0,Africa,,0.4830666689784841
Albania,ALB,4390.0,2891000.0,Europe,22.9,0.3161942847629793
Andorra,AND,,78000.0,Europe,,0.10041813224796473
United Arab Emirates,ARE,42860.0,9263000.0,Asia,,0.4426309947822701
Argentina,ARG,12570.0,43075000.0,South America,30.8,0.8217610472278672
Armenia,ARM,4010.0,2926000.0,Asia,26.7,0.3949065111981506
American Samoa,ASM,,56000.0,Oceania,,0.8854753995475645
Antigua and Barbuda,ATG,12850.0,94000.0,North America,,0.8437994902415461
Australia,AUS,60500.0,23932000.0,Oceania,26.5,0.19153462360491436
Austria,AUT,47450.0,8679000.0,Europe,24.1,0.08439871958783159
Azerbaijan,AZE,6570.0,9623000.0,Asia,,0.4951908237769911
Burundi,BDI,260.0,10160000.0,Africa,31.3,0.07608438103754504
Belgium,BEL,45540.0,11288000.0,Europe,22.4,0.13920389194548222
Benin,BEN,1180.0,10576000.0,Africa,37.6,0.7159105475800248
Burkina Faso,BFA,700.0,18111000.0,Africa,29.6,1.189540360452103
Bangladesh,BGD,1220.0,156256000.0,Asia,26.9,0.2773967675289318
Bulgaria,BGR,7450.0,7200000.0,Europe,28.8,0.16557877618070413
Bahrain,BHR,22580.0,1372000.0,Asia,,0.6303695128627705
Bosnia and Herzegovina,BIH,5210.0,3429000.0,Europe,25.8,0.22364190114190144
Belarus,BLR,6710.0,9439000.0,Europe,22.2,0.535968279769933
Belize,BLZ,4400.0,361000.0,North America,,5.6550025344483075
Bermuda,BMU,101120.0,64000.0,North America,,0.37924990734657693
Bolivia,BOL,2960.0,10870000.0,South America,33.4,1.0271404039393741
Brazil,BRA,10190.0,204472000.0,South America,40.5,4.730777626848629
Barbados,BRB,15740.0,285000.0,North America,,1.1574680336581091
Brunei Darussalam,BRN,38850.0,415000.0,Asia,,0.3409746637865215
Bhutan,BTN,2520.0,728000.0,Asia,30.7,0.23279600913609844
Botswana,BWA,6840.0,2121000.0,Africa,,1.2790451977446622
Central African Republic,CAF,400.0,4493000.0,Africa,,0.5572084375152254
Canada,CAN,47570.0,36027000.0,North America,25.3,0.1948189105091217
Switzerland,CHE,85670.0,8297000.0,Europe,25.5,0.08162101644344476
Chile,CHL,14130.0,17969000.0,South America,38.0,0.7112444094874174
China,CHN,7940.0,1406848000.0,Asia,31.4,0.13907800521113428
Cote d'Ivoire,CIV,1660.0,23226000.0,Africa,32.1,1.2786607378862862
Cameroon,CMR,1440.0,23298000.0,Africa,35.0,0.38039506110764654
Colombia,COL,7330.0,47521000.0,South America,39.6,6.423809493698819
Comoros,COM,1380.0,777000.0,Africa,33.4,1.2387908996851775
Cabo Verde,CPV,3210.0,525000.0,Africa,,2.32306518092783
Costa Rica,CRI,10400.0,4848000.0,North America,36.7,2.055456775533334
Cuba,CUB,7230.0,11325000.0,North America,,0.6786549513726584
Curacao,CUW,19620.0,160000.0,North America,,
Cayman Islands,CYM,44370.0,62000.0,North America,,
Cyprus,CYP,25960.0,1161000.0,Europe,28.8,0.26315227302023136
Czech Republic,CZE,18370.0,10601000.0,Europe,22.1,0.1095817593457696
Germany,DEU,45810.0,81787000.0,Europe,24.9,0.07051683738874036
Djibouti,DJI,2730.0,914000.0,Africa,34.1,1.3735406533077554
Dominica,DMA,6870.0,71000.0,North America,,1.1728542861801499
Denmark,DNK,60510.0,5689000.0,Europe,23.7,0.08539215133652359
Dominican Republic,DOM,6580.0,10282000.0,North America,34.6,3.4992621544330196
Algeria,DZA,4850.0,39728000.0,Africa,22.9,0.2611745031044256
Ecuador,ECU,5970.0,16212000.0,South America,35.8,2.6494948275583763
Eritrea,ERI,,3343000.0,Africa,,1.5876791706889757
Spain,ESP,28430.0,46672000.0,Europe,26.0,0.07957718502975494
Estonia,EST,18680.0,1315000.0,Europe,26.2,0.3868805058462688
