,index,code,gni_per_capita,life satisfaction in cantril ladder (world happiness report 2019),fertility,total population,continent,working hours per year
0,Slovak Republic,SVK,17670.0,6.23511076,1.442,5436000.0,Europe,1754.0863
1,Australia,AUS,60500.0,7.17699337,1.858,23932000.0,Oceania,1747.009
2,Georgia,GEO,4410.0,4.659097195,2.05,4024000.0,Asia,no data
3,Norway,NOR,93110.0,7.444262028,1.741,5200000.0,Europe,1422.5608
4,Bulgaria,BGR,7450.0,5.098813534,1.534,7200000.0,Europe,1644.3853
5,Curacao,CUW,19620.0,,1.938,160000.0,North America,no data
6,Denmark,DNK,60510.0,7.648785591,1.737,5689000.0,Europe,1412.2715
7,Poland,POL,13310.0,,1.371,38034000.0,Europe,2049.009
8,Mauritius,MUS,10700.0,5.88174057,1.4240000000000002,1259000.0,Africa,no data
9,Faroe Islands,FRO,,,-99.0,48000.0,Europe,no data
10,Colombia,COL,7330.0,5.983512402000001,1.863,47521000.0,South America,1997.7479999999998
11,New Caledonia,NCL,,,2.073,271000.0,Oceania,no data
12,French Polynesia,PYF,,,1.99,273000.0,Oceania,no data
13,United States,USA,56750.0,6.882684707999999,1.812,320878016.0,North America,1765.1826
14,United Kingdom,GBR,44350.0,7.233445167999999,1.809,65860000.0,Europe,1669.0747
15,Zambia,ZMB,1580.0,4.041488171,4.918,15879000.0,Afrika,no data
16,Central African Republic,CAF,400.0,,4.941,4493000.0,Afrika,no data
17,Israel,ISR,36070.0,6.92717886,3.0610000000000004,7978000.0,asia,1895.4574
18,Slovenia,SVN,22250.0,6.249419212,1.596,2071000.0,Europe,1687.8574
19,Angola,AGO,4520.0,,5.774,27884000.0,Afrika,no data
20,Jordan,JOR,3950.0,4.638933659,3.071,9267000.0,asia,no data
21,Suriname,SUR,8690.0,,2.494,559000.0,South America,no data
22,Indonesia,IDN,3430.0,5.340295792,2.389,258383008.0,Asia,2024.287
23,Eswatini,SWZ,3800.0,4.211565018,3.065,1104000.0,Africa,no data
24,Guinea-Bissau,GNB,640.0,,4.708,1737000.0,Afrika,no data
25,Ecuador,ECU,5970.0,6.128010272999999,2.499,16212000.0,South America,1701.3558
26,Iceland,ISL,50160.0,,1.87,330000.0,Europe,1509.1685
27,Tonga,TON,4440.0,,3.678,101000.0,Oceania,no data
28,Rwanda,RWA,750.0,3.5610466,4.157,11369000.0,Afrika,no data
29,Northern Mariana Islands,MNP,,,-99.0,56000.0,Oceania,no data
30,Netherlands,NLD,49810.0,7.463097095,1.693,16938000.0,Europe,1423.9202
31,Ethiopia,ETH,600.0,4.3792624469999994,4.565,100835000.0,Afrika,no data
32,Isle of Man,IMN,83990.0,,-99.0,83000.0,Europe,no data
33,St. Vincent and the Grenadines,VCT,6560.0,,1.953,109000.0,North America,no data
34,Mongolia,MNG,3820.0,5.464622974,2.918,2998000.0,Asia,no data
35,Lithuania,LTU,15190.0,6.308878899,1.643,2932000.0,Europe,1859.4974
36,Chad,TCD,880.0,4.4863252639999995,6.049,14111000.0,Afrika,no data
37,Tanzania,TZA,980.0,3.445023298,5.079,51483000.0,Afrika,no data
38,Mozambique,MOZ,640.0,4.653713703,5.062,27042000.0,Afrika,no data
39,Togo,TGO,640.0,4.022894859,4.516,7323000.0,Afrika,no data
40,Cote d'Ivoire,CIV,1660.0,5.26837492,4.813,23226000.0,Afrika,no data
41,Cyprus,CYP,25960.0,6.276443005,1.354,1161000.0,Europe,1789.7061
42,Greece,GRC,20140.0,5.40928936,1.321,10660000.0,Europe,2031.1405
43,Portugal,PRT,20440.0,5.9198226929999995,1.274,10368000.0,Europe,1874.9194
44,Tuvalu,TUV,5440.0,,-99.0,11000.0,Oceania,no data
45,Ukraine,UKR,2700.0,4.661909103,1.475,44922000.0,Europe,no data
46,Turkmenistan,TKM,7030.0,4.620601654,2.93,5565000.0,Asia,no data
47,Uruguay,URY,15640.0,6.371714592000001,1.997,3412000.0,South America,1552.3470000000002
48,Bhutan,BTN,2520.0,,2.037,728000.0,Asia,no data
49,Jamaica,JAM,4700.0,,2.026,2891000.0,North America,no data
50,Nigeria,NGA,2820.0,5.252288342,5.5920000000000005,181136992.0,Afrika,1703.4781
51,Cayman Islands,CYM,44370.0,,-99.0,62000.0,North America,no data
52,Luxembourg,LUX,72470.0,7.2426309589999995,1.495,567000.0,Europe,1521.0288
53,Hungary,HUN,13250.0,,1.408,9778000.0,Europe,1923.7209
54,Bangladesh,BGD,1220.0,4.499217033,2.12,156256000.0,Asia,2232.3542
55,Bahrain,BHR,22580.0,,2.056,1372000.0,Asia,no data
56,Zimbabwe,ZWE,1280.0,3.616479874,3.896,13815000.0,Africa,no data
57,Lesotho,LSO,1340.0,,3.218,2059000.0,Africa,no data
58,Pakistan,PAK,1260.0,5.471553802000001,3.66,199427008.0,asia,2096.1443
59,Sweden,SWE,58420.0,7.3747920989999995,1.878,9765000.0,Europe,1610.0720000000001
60,El Salvador,SLV,3440.0,6.276246071,2.101,6325000.0,North America,no data
61,Brazil,BRA,10190.0,6.190921782999999,1.753,204472000.0,South America,1709.4856
