,country_name,country_code,Population,Continent,GNI_Total,Income share held by highest 10%,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Percent),Trust in others (World Values Survey (2014)),Life satisfaction in Cantril Ladder (World Happiness Report 2020)
0,Aruba,ABW,104000.0,"America, North",2730000000.0,.,,,
1,Afghanistan,AFG,34414000.0,Asia,20648400000.0,.,1.546669770742224,,
2,Angola,AGO,27884000.0,Africa,126035680000.0,.,0.4830666689784841,,
3,Albania,ALB,2891000.0,Europe,12691490000.0,22.9,0.3161942847629793,,
4,Andorra,AND,78000.0,Europe,,.,0.10041813224796473,,
5,United Arab Emirates,ARE,9263000.0,Asia,397012180000.0,.,0.4426309947822701,,
6,Argentina,ARG,43075000.0,"America, South",541452750000.0,30.8,0.8217610472278672,22.64706,
7,Armenia,ARM,2926000.0,Asia,11733260000.0,26.7,0.3949065111981506,10.01821,
8,American Samoa,ASM,56000.0,Oceania,,.,0.8854753995475645,,
9,Antigua and Barbuda,ATG,94000.0,"America, North",1207900000.0,.,0.8437994902415461,,
10,Australia,AUS,23932000.0,Oceania,1447886000000.0,26.5,0.19153462360491436,54.43383000000001,
11,Austria,AUT,8679000.0,Europe,411818550000.0,24.1,0.08439871958783159,,
12,Azerbaijan,AZE,9623000.0,Asia,63223110000.0,.,0.4951908237769911,16.16766,
13,Burundi,BDI,10160000.0,Africa,2641600000.0,31.3,0.07608438103754504,,
14,Belgium,BEL,11288000.0,Europe,514055520000.0,22.4,0.13920389194548222,,
15,Benin,BEN,10576000.0,Africa,12479680000.0,37.6,0.7159105475800248,,
16,Burkina Faso,BFA,18111000.0,Africa,12677700000.0,29.6,1.189540360452103,,
17,Bangladesh,BGD,156256000.0,Asia,190632320000.0,26.9,0.2773967675289318,,
18,Bulgaria,BGR,7200000.0,Europe,53640000000.0,28.8,0.16557877618070413,,
19,Bahrain,BHR,1372000.0,Asia,30979760000.0,.,0.6303695128627705,33.5,
20,Bosnia and Herzegovina,BIH,3429000.0,Europe,17865090000.0,25.8,0.22364190114190144,,
21,Belarus,BLR,9439000.0,Europe,63335690000.0,22.2,0.535968279769933,32.80737,
