country_name,country_code,continent,trust
Argentina,ARG,South America,22.64706
Armenia,ARM,Asia,10.01821
Australia,AUS,Oceania,54.43383000000001
Azerbaijan,AZE,Asia,16.16766
Bahrain,BHR,Asia,33.5
Belarus,BLR,Europe,32.80737
Brazil,BRA,South America,6.52759
Chile,CHL,South America,12.64016
China,CHN,Asia,62.69384
Colombia,COL,South America,4.12783
Cyprus,CYP,Europe,9.02708
Germany,DEU,Europe,42.030409999999996
Algeria,DZA,Africa,17.92863
Ecuador,ECU,South America,7.1607
Spain,ESP,Europe,19.01944
Estonia,EST,Europe,38.51175
Georgia,GEO,Asia,8.81864
Ghana,GHA,Africa,4.96134
India,IND,Asia,32.953829999999996
Iraq,IRQ,Asia,30.0
Jordan,JOR,Asia,13.25
Japan,JPN,Asia,35.93942
Kazakhstan,KAZ,Asia,38.8
Kyrgyz Republic,KGZ,Asia,37.72538
Kuwait,KWT,Asia,29.153609999999997
Lebanon,LBN,Asia,9.83333
Libya,LBY,Africa,11.00614
Morocco,MAR,Africa,12.44743
Mexico,MEX,North America,12.4062
Malaysia,MYS,Asia,8.53846
Nigeria,NGA,Africa,14.78113
Netherlands,NLD,Europe,66.1757
New Zealand,NZL,Oceania,56.22733
Pakistan,PAK,Asia,23.54949
Peru,PER,South America,8.21577
Philippines,PHL,Asia,2.83333
Poland,POL,Europe,22.256729999999997
West Bank and Gaza,PSE,Asia,15.8
Qatar,QAT,Asia,21.4151
Romania,ROU,Europe,7.07138
Russian Federation,RUS,Europe,27.735159999999997
Rwanda,RWA,Africa,16.63392
Singapore,SGP,Asia,38.516259999999996
Slovenia,SVN,Europe,19.98124
Sweden,SWE,Europe,63.75839000000001
Thailand,THA,Asia,32.573840000000004
Trinidad and Tobago,TTO,North America,3.2032
Tunisia,TUN,Africa,15.518670000000002
Turkey,TUR,Asia,12.00762
Ukraine,UKR,Europe,23.71274
Uruguay,URY,South America,14.43515
United States,USA,North America,38.17277
Uzbekistan,UZB,Asia,13.922360000000001
South Africa,ZAF,Africa,23.50609
Zimbabwe,ZWE,Africa,7.2
